"Date","Open","High","Low","Close"
"12/29/2025","48,636.63","48,704.83","48,390.91","48,461.93"
"12/30/2025","48,434.88","48,471.70","48,297.26","48,367.06"
"12/31/2025","48,371.52","48,394.51","48,050.88","48,063.29"
"01/02/2026","48,105.98","48,404.06","47,853.04","48,382.39"
"01/05/2026","48,475.81","49,209.95","48,449.62","48,977.18"
"01/06/2026","48,987.36","49,509.92","48,923.83","49,462.08"
"01/07/2026","49,512.72","49,621.43","48,951.99","48,996.08"
"01/08/2026","48,850.17","49,357.74","48,792.34","49,266.11"
"01/09/2026","49,234.81","49,571.41","49,197.06","49,504.07"
"01/12/2026","49,499.67","49,633.35","49,011.31","49,590.20"
"01/13/2026","49,616.95","49,616.95","49,056.31","49,191.99"
"01/14/2026","49,088.25","49,195.10","48,851.98","49,149.63"
"01/15/2026","49,201.10","49,581.18","49,201.10","49,442.44"
"01/16/2026","49,466.70","49,616.70","49,246.24","49,359.33"
"01/20/2026","49,005.01","49,005.01","48,428.13","48,488.59"
"01/21/2026","48,546.03","49,295.03","48,546.03","49,077.23"
"01/22/2026","49,201.81","49,607.29","49,201.81","49,384.01"
"01/23/2026","49,264.54","49,265.46","48,963.05","49,098.71"
"01/26/2026","49,137.65","49,488.81","49,137.65","49,412.40"
"01/27/2026","49,103.58","49,157.80","48,862.52","49,003.41"
"01/28/2026","49,024.68","49,150.34","48,901.49","49,015.60"
"01/29/2026","48,938.27","49,292.81","48,597.22","49,071.56"
"01/30/2026","48,991.62","49,047.68","48,459.88","48,892.47"
"02/02/2026","48,777.77","49,484.95","48,673.58","49,407.66"
"02/03/2026","49,358.59","49,653.13","48,832.78","49,240.99"
"02/04/2026","49,323.59","49,649.86","49,112.43","49,501.30"
"02/05/2026","49,313.04","49,340.90","48,829.10","48,908.72"
"02/06/2026","49,032.19","50,169.65","49,032.19","50,115.67"
"02/09/2026","50,047.79","50,219.40","49,837.45","50,135.87"
"02/10/2026","50,193.49","50,512.79","50,115.03","50,188.14"
"02/11/2026","50,243.15","50,499.04","49,901.61","50,121.40"
"02/12/2026","50,170.27","50,447.01","49,420.28","49,451.98"
"02/13/2026","49,439.58","49,743.98","49,084.35","49,500.93"
"02/17/2026","49,525.37","49,732.37","49,169.84","49,533.19"
"02/18/2026","49,571.92","49,897.31","49,469.06","49,662.66"
"02/19/2026","49,576.22","49,606.17","49,197.53","49,395.16"
"02/20/2026","49,323.00","49,712.56","49,158.28","49,625.97"
"02/23/2026","49,536.54","49,695.61","48,731.46","48,804.06"
"02/24/2026","48,827.80","49,295.21","48,752.74","49,174.50"
"02/25/2026","49,357.63","49,517.36","49,206.87","49,482.15"
"02/26/2026","49,544.58","49,815.22","49,237.38","49,499.20"
"02/27/2026","49,253.57","49,253.57","48,678.78","48,977.92"
"03/02/2026","48,794.42","49,064.67","48,377.96","48,904.78"
"03/03/2026","48,493.11","48,695.36","47,626.85","48,501.27"
"03/04/2026","48,589.77","48,854.05","48,354.37","48,739.41"
"03/05/2026","48,526.73","48,526.73","47,577.11","47,954.74"
"03/06/2026","47,634.55","47,634.55","47,009.01","47,501.55"
"03/09/2026","47,371.28","47,876.06","46,615.52","47,740.80"
"03/10/2026","47,771.43","48,220.54","47,444.23","47,706.51"
"03/11/2026","47,690.76","47,711.26","47,185.89","47,417.27"
"03/12/2026","47,242.52","47,242.52","46,662.23","46,677.85"
"03/13/2026","46,689.24","47,123.99","46,494.63","46,558.47"
"03/16/2026","46,707.40","47,176.14","46,707.40","46,946.41"
"03/17/2026","47,085.53","47,428.12","46,975.52","46,993.26"
"03/18/2026","46,913.93","46,913.93","46,193.06","46,225.15"
"03/19/2026","46,134.87","46,247.22","45,733.70","46,021.43"
"03/20/2026","45,975.65","46,068.31","45,369.39","45,577.47"
"03/23/2026","45,803.82","46,712.33","45,803.82","46,208.47"
"03/24/2026","46,099.86","46,400.82","45,769.69","46,124.06"
"03/25/2026","46,314.24","46,718.42","46,196.91","46,429.49"
"03/26/2026","46,344.64","46,547.59","45,910.75","45,960.11"
"03/27/2026","45,904.25","45,904.25","45,063.33","45,166.64"
"03/30/2026","45,283.06","45,625.76","45,057.28","45,216.14"
"03/31/2026","45,541.76","46,383.40","45,480.30","46,341.51"
"04/01/2026","46,396.12","46,803.36","46,396.12","46,565.74"
"04/02/2026","46,469.36","46,754.72","45,897.24","46,504.67"
